Designator,MidX,MidY,Side,Rotation
C1,143.76,-49.4284,top,180
C2,160.0494,-36.5252,top,0
C3,144.281,-51.9684,top,180
C4,159.5284,-33.9852,top,0
C5,144.281,-54.5084,top,180
C6,159.5284,-31.4452,top,0
C7,50.67,-57.57,top,90
C8,161.2392,-67.4116,top,-90
C9,88.5846,-55.0836,top,90
C10,126.0708,-62.2972,top,90
D1,124.841,-46.8682,top,-90
D2,119.4054,-46.8436,top,-90
D3,114.0714,-46.8182,top,-90
D4,112.6236,-76.8402,top,-90
D5,55.6514,-46.488,top,90
F1,99.1362,-25.5524,top,90
J1,45.67,-34.5,top,180
J2,147.23,-33.1,top,180
K4,101.52,-70.32,top,180
Q1,134.73,-39.23,top,-90
Q2,139.73,-39.23,top,-90
Q3,144.73,-39.23,top,-90
R1,60.6552,-46.8122,top,90
R2,63.6986,-54.5408,top,180
R3,66.7766,-46.8376,top,90
R4,78.7908,-46.9138,top,90
R5,75.7198,-54.5454,top,0
R6,72.6694,-46.8376,top,90
R10,96.8806,-54.9328,top,90
R11,93.1746,-54.2036,top,0
R12,91.4958,-44.4172,top,-90
R13,97.2616,-48.0134,top,-90
R14,125.2908,-59.5122,top,180
R15,113.7232,-58.2422,top,0
R16,125.2908,-56.9722,top,0
R17,113.7232,-55.7022,top,180
R18,143.2814,-67.3332,top,90
R19,145.9484,-69.578,top,-90
R20,49.22,-50.26,top,0
R21,46.9646,-45.8194,top,90
R22,155.0568,-62.8396,top,0
R23,124.5108,-66.6422,top,90
R24,121.9708,-66.6422,top,90
R25,119.5832,-66.6422,top,90
R26,117.0432,-66.6422,top,90
R27,150.9268,-61.8896,top,90
U1,92.9518,-32.0626,top,90
U2,91.4908,-49.4284,top,0
U3,105.791,-46.0502,top,0
U4,105.791,-56.8706,top,0
U5,119.507,-59.4614,top,90
U6,128.0008,-66.9997,top,90
U7,40.9956,-48.6283,top,0
U8,156.0068,-65.278,top,-90
U9,132.4408,-64.7247,top,90
U10,152.1968,-56.388,top,180
