"Comment","Designator","Footprint","LCSC"
"10uF_35V","C1, C2","KORA:C_1206",""
"2.2uF_35V","C3, C4","KORA:C_0603",""
"0.1uF_35V","C5, C6, C9, C10","KORA:C_0603",""
"1uF 450V","C7","KORA:1uF_450V_UVZ2W010MPD1TD",""
"1uF","C8","KORA:1uF_50V_D4",""
"2A_25V","D1, D2, D3, D4","KORA:2A_25V_STPS2L25U",""
"60V_Zener","D5","KORA:60V zener_SMBJ5371B-TP",""
"500mA","F1","KORA:500mA_0680H0500-05",""
"828801-5","J1","KORA:14Pin Connector_8288015",""
"175976-2","J2","KORA:28P Connector_1759762",""
"Coto_5504-12-1","K4","KORA:Coto_5504-12-1",""
"SQ2348ES-T1_GE3","Q1, Q2, Q3","KORA:N-MOS_DMN6140LQ-7",""
"100k_2512_6W","R1, R2, R4, R5","KORA:R_2512",""
"1.5k_2512_6W","R3","KORA:R_2512",""
"1.4k_2512_6W","R6","KORA:R_2512",""
"11k","R10","KORA:R_0603",""
"1k","R11","KORA:R_0603",""
"6.8k","R12, R13, R23, R24, R25, R26","KORA:R_0603",""
"10k","R14, R15, R16, R17","KORA:R_0603",""
"4.7k","R18","KORA:R_1206",""
"200k","R19","KORA:R_0603",""
"56k_0.25W","R20","KORA:R_1206",""
"6.8k_0.25W","R21","KORA:R_1206",""
"1M","R22","KORA:R_0805",""
"100","R27","KORA:R_0805",""
"TMV_1205S","U1","KORA:TMV1205S",""
"LM2903VQDRQ1","U2","KORA:LM2903VQDRQ1",""
"G3VM-41","U3, U4, U10","KORA:G3VM-41-AY",""
"LM2901","U5","KORA:LM2901",""
"SN74LVC1G332","U6","Package_TO_SOT_SMD:SOT-23-6",""
"LR8K4-G","U7","KORA:LR8K4-G",""
"NE555P","U8","Package_DIP:DIP-8_W7.62mm",""
"SN74LVC1G02DBVR","U9","Package_TO_SOT_SMD:SOT-23-5",""
